COD_SETOR,NUM_QUADRA,NUM_FACE,TOT_ENDERECOS,TOT_DOMICILIOS
270010205000003,4,4,4,2
270010205000003,5,1,5,4
270010205000004,2,2,1,1
270010205000004,2,3,0,0
270010205000004,13,1,2,0
270010205000015,3,8,14,10
270010205000015,3,10,1,1
270010205000015,4,2,2,1
270010205000015,5,1,2,2
270010205000022,4,3,2,2
270010205000039,3,1,1,1
270010205000062,1,3,4,3
270010205000062,1,4,4,4
270010205000062,5,3,0,0
270010205000079,3,6,0,0
270010205000079,5,1,8,7
270010205000079,19,2,0,0
270010205000080,12,2,7,6
270010205000080,13,1,6,6
270010205000081,11,3,19,8
270010205000081,11,7,11,10
270010205000083,12,1,0,0
270010205000084,12,6,4,4
270020105000004,1,2,0,0
270020105000006,3,1,2,2
270020105000007,6,4,1,1
270020105000008,10,3,5,5
270020105000008,10,4,5,4
270020105000009,8,3,1,1
270020105000012,2,5,7,6
270020105000015,3,5,0,0
270020105000015,4,1,1,0
270020105000015,5,1,0,0
270020105000021,4,2,13,5
270020105000021,4,5,1,0
270020105000021,5,3,0,0
270020105000021,11,4,4,3
270020105000027,2,1,1,0
270020105000031,7,3,1,1
270020105000031,7,5,2,2
270020105000031,7,11,5,4
270020105000031,7,12,3,3
270020105000031,8,4,3,3
270020105000031,8,9,4,4
270020105000031,9,7,2,2
270020105000031,10,1,4,4
270020105000031,10,2,1,0
270020105000031,16,4,3,1
270020105000031,16,5,5,5
270020105000031,18,3,1,1
270020105000031,19,2,1,1
270020105000032,16,1,2,2
270020105000032,22,1,1,1
270020105000032,23,9,1,1
270020105000032,25,1,2,2
270020105000036,1,10,0,0
270020105000036,1,14,0,0
270020105000036,2,6,10,9
270020105000036,10,6,1,1
270020105000037,7,9,9,9
270020105000037,7,11,9,8
270020105000037,8,3,1,0
270020105000037,9,4,1,0
270030005000002,1,2,1,0
270030005000002,6,5,1,0
270030005000004,3,1,1,1
270030005000004,3,2,2,0
270030005000004,3,3,11,0
270030005000004,3,4,1,0
270030005000004,3,5,0,0
270030005000004,3,6,2,0
270030005000004,6,4,2,2
270030005000025,1,5,3,3
270030005000025,1,7,0,0
270030005000026,7,4,0,0
270030005000031,3,2,2,0
270030005000042,1,4,2,2
270030005000045,7,3,6,6
270030005000046,17,4,1,0
270030005000051,6,4,38,34
270030005000051,9,4,15,15
270030005000051,11,4,12,11
270030005000052,4,2,0,0
270030005000052,14,1,11,9
270030005000052,14,2,1,0
270030005000052,14,3,0,0
270030005000052,14,4,20,16
270030005000052,17,1,0,0
270030005000055,8,3,0,0
270030005000055,22,2,0,0
270030005000055,36,4,0,0
270030005000055,40,4,8,8
270030005000055,44,2,1,0
270030005000055,45,14,0,0
270030005000055,46,1,0,0
270030005000055,47,1,0,0
270030005000055,48,4,0,0
270030005000055,49,4,6,5
270030005000055,50,4,4,4
270030005000056,22,4,0,0
270030005000057,9,4,3,2
270030005000057,17,4,7,6
270030005000057,18,4,6,6
270030005000058,1,17,0,0
270030005000058,1,20,7,6
270030005000058,1,23,16,15
270030005000058,2,10,1,0
270030005000062,5,2,0,0
270030005000073,7,1,0,0
270030005000073,8,5,0,0
270030005000073,15,10,9,9
270030005000073,16,4,7,5
270030005000073,17,4,8,7
270030005000073,18,4,4,4
270030005000074,13,4,5,4
270030005000074,14,4,10,7
270030005000074,15,4,13,11
270030005000074,16,4,6,6
270030005000076,5,14,2,2
270030005000085,1,3,0,0
270030005000090,1,1,9,9
270030005000091,2,5,12,11
270030005000091,2,6,7,7
270030005000091,3,3,12,12
270030005000091,3,4,4,4
270030005000091,11,13,24,23
270030005000091,12,14,36,30
270030005000091,13,4,7,7
270030005000093,2,9,1,1
270030005000093,2,15,1,0
270030005000094,6,2,1,1
270030005000095,9,4,3,3
270030005000095,10,4,5,5
270030005000096,10,4,8,6
270030005000096,11,4,5,4
270030005000097,1,4,25,19
270030005000097,10,4,23,17
270030005000098,6,1,0,0
270030005000098,16,4,15,13
270030005000102,8,3,1,1
270030005000104,3,9,1,1
270030005000110,9,1,0,0
270030005000117,22,1,0,0
270030005000117,22,2,0,0
270030005000118,36,1,9,8
270030005000118,36,2,1,1
270030005000118,36,3,10,8
270030005000118,36,4,1,1
270030005000118,37,1,3,3
270030005000118,37,2,1,1
270030005000118,37,3,5,3
270030005000118,37,4,0,0
270030005000118,38,1,0,0
270030005000118,38,2,0,0
270030005000118,38,3,5,5
270030005000118,38,4,0,0
270030005000118,39,1,0,0
270030005000118,39,2,0,0
270030005000118,39,3,4,4
270030005000118,39,4,0,0
270030005000118,40,1,0,0
270030005000118,40,2,0,0
270030005000118,40,3,1,1
270030005000118,40,4,1,1
270030005000118,41,1,0,0
270030005000118,41,2,0,0
270030005000118,41,3,0,0
270030005000118,41,4,0,0
270030005000124,1,18,1,1
270030005000124,2,1,3,2
270030005000124,2,2,8,8
270030005000124,2,3,4,4
270030005000124,2,4,8,8
270030005000124,2,5,7,7
270030005000124,2,6,4,4
270030005000124,2,7,14,14
270030005000124,2,8,2,2
270030005000124,2,9,2,2
270030005000124,2,10,2,2
270030005000124,2,11,5,2
270030005000124,5,1,18,15
270030005000124,5,2,1,0
270030005000124,5,3,5,3
270030005000124,5,4,8,7
270030005000124,7,1,12,8
270030005000124,7,2,0,0
270030005000124,7,3,7,6
270030005000124,7,4,12,6
270030005000124,8,1,0,0
270030005000124,8,2,1,0
270030005000124,10,12,6,6
270030005000124,19,3,0,0
270030005000132,13,1,0,0
270030005000132,13,2,12,12
270030005000132,13,3,0,0
270030005000132,13,4,13,13
270030005000132,14,1,0,0
270030005000132,14,2,14,14
270030005000132,14,3,0,0
270030005000132,14,4,0,0
270030005000132,15,1,0,0
270030005000132,15,2,8,5
270030005000132,15,3,0,0
270030005000132,15,4,6,5
270030005000132,16,1,0,0
270030005000132,16,2,17,17
270030005000132,16,3,0,0
270030005000132,16,4,7,6
270030005000151,5,1,0,0
270030005000157,8,1,0,0
270030005000157,8,2,0,0
270030005000157,9,3,1,0
270030005000169,1,1,11,10
270030005000169,1,2,3,3
270030005000169,1,3,13,11
270030005000169,1,4,2,2
270030005000169,2,1,9,8
270030005000169,2,2,0,0
270030005000169,2,3,14,13
270030005000169,2,4,8,7
270030005000169,3,1,8,4
270030005000169,3,2,0,0
270030005000169,3,3,22,15
270030005000169,3,4,4,3
270030005000177,1,1,0,0
270030005000184,1,1,0,0
270030005000185,1,1,0,0
270030005000185,2,1,1,1
270030005000185,3,1,1,0
270030005000185,4,1,0,0
270030005000185,5,1,0,0
270030005000185,6,1,0,0
270030005000186,4,1,0,0
270030005000189,14,1,0,0
270030005000189,14,3,0,0
270030005000190,1,46,0,0
270030005000190,2,1,0,0
270030005000190,2,2,0,0
270030005000190,2,3,0,0
270030005000191,1,8,0,0
270030005000191,1,12,0,0
270030005000191,2,3,2,2
270030005000196,1,6,1,1
270030005000196,1,8,1,1
270030005000196,1,18,0,0
270030005000196,1,24,0,0
270030005000196,1,29,4,0
270030005000196,1,30,23,22
270030005000196,6,4,26,23
270030005000196,7,4,12,12
270030005000196,8,4,17,17
270030005000196,9,7,4,3
270030005000196,10,4,19,19
270030005000197,3,1,2,0
270030005000198,20,3,1,1
270030005000198,23,4,1,1
270030005000198,28,1,1,0
270030005000198,28,2,1,0
270030005000198,28,4,1,0
270030005000205,1,10,0,0
270030005000205,1,11,0,0
270030005000206,7,17,0,0
270030005000212,3,4,1,1
270030005000215,4,7,4,4
270030005000215,5,3,1,1
270030005000215,7,3,1,1
270030005000215,7,4,0,0
270030005000215,8,7,0,0
270030005000215,9,4,1,1
270030005000216,1,4,0,0
270030005000220,1,13,0,0
270030005000221,1,15,2,0
270030005000223,4,1,0,0
270030005000224,7,4,0,0
270030005000224,11,1,0,0
270030005000224,20,3,1,1
270030005000226,1,22,8,8
270030005000229,1,3,0,0
270030005000229,4,4,0,0
270030005000229,10,3,0,0
270030005000229,12,4,0,0
270030005000229,13,1,0,0
270030005000229,13,3,0,0
270030005000229,14,2,0,0
270030005000238,7,2,0,0
270030005000240,2,1,0,0
270030005000240,2,2,3,3
270030005000240,2,3,0,0
270030005000240,2,4,0,0
270030005000240,3,2,0,0
270030005000240,3,3,1,0
270030005000240,3,4,2,2
270030005000240,3,5,0,0
270030005000240,3,7,1,0
270030005000240,3,8,0,0
270030005000240,3,9,1,0
270030005000240,3,10,2,2
270030005000240,3,14,0,0
270030005000240,3,15,2,2
270030005000240,23,1,0,0
270030005000240,23,2,0,0
270030005000240,23,3,35,35
270030005000240,23,4,0,0
270030005000240,23,5,19,19
270030005000240,23,6,14,14
270030005000240,23,7,2,2
270030005000240,23,8,8,8
270030005000240,23,9,14,13
270030005000240,23,10,0,0
270030005000240,23,11,13,13
270030005000240,23,12,12,12
270030005000240,23,13,3,2
270030005000240,23,14,9,8
270030005000240,23,15,13,11
270030005000240,23,16,0,0
270030005000240,23,17,9,7
270030005000240,23,26,0,0
270030005000240,23,34,0,0
270030005000240,23,35,1,0
270030005000248,9,7,0,0
270030005000252,37,3,0,0
270030005000252,40,1,0,0
270030005000253,9,2,0,0
270030005000256,1,3,5,4
270030005000260,3,4,7,6
270030005000260,12,3,3,2
270030005000260,13,2,4,4
270030005000264,11,1,0,0
270030005000266,4,5,1,1
270030005000273,2,4,14,14
270030005000273,4,2,0,0
270030005000273,5,1,0,0
270030005000274,25,5,4,4
270030005000280,1,10,5,5
270030005000280,3,2,3,3
270030005000280,11,2,4,4
270030005000284,13,1,2,2
270030005000284,14,1,0,0
270030005000284,15,1,0,0
270030005000284,16,1,1,1
270030005000290,15,5,0,0
270030005000290,15,6,0,0
270030005000290,15,7,0,0
270030005000290,15,8,3,3
270030005000290,17,1,0,0
270030005000290,17,2,5,5
270030005000290,17,3,0,0
270030005000290,17,4,6,6
